Mask	Count	Complexity	Length
?u?l?d?d?u?d?d?l	529	3.0	8.0
?l?l?u?l?l?l?l?d?l?l	529	3.0	10.0
?d?u?d?l?u?d?u?u	529	3.0	8.0
?u?u?l?l?l?l?l?l?l?l?d?d?d?d?d?d?d?d?d?d	529	3.0	20.0
?d?l?l?d?l?l?l?l?d?l?l?l?l?l?l	529	2.0	15.0
?l?l?d?d?u?u?u?u?d?d	529	3.0	10.0
?d?d?d?l?d?l?d?d?d?d?d?l?d?d?d?d	529	2.0	16.0
?d?l?l?u?l?d?u?l?u?l	529	3.0	10.0
?d?d?l?d?d?d?l?d?d?d?d?d?d?l?d?d	529	2.0	16.0
?l?d?l?l?l?l?l?l?l?l?l?l?d?d?d	529	2.0	15.0
?d?d?d?d?l?l?u?d	529	3.0	8.0
?s?s?s?d?d?d?d?d?d?d?d?d	529	2.0	12.0
?u?d?d?l?u?u?d?u	529	3.0	8.0
?u?l?l?l?l?l?l?l?u?l?l?l?l?l?l?d?d	529	3.0	17.0
?l?l?l?d?l?l?l?l?d?l?d?l	529	2.0	12.0
?l?l?l?l?u?u?u?u?u?u?u?u	529	2.0	12.0
?d?l?l?d?l?l?l?l?l?l?l?l?l?l?d	528	2.0	15.0
?d?d?d?l?l?l?l?l?s?s?s	528	3.0	11.0
?d?d?d?d?l?d?l?d?d?d?d?d?d?l?d?d	528	2.0	16.0
?l?l?l?l?l?l?d?d?d?d?l?l?d	528	2.0	13.0
?l?l?l?l?l?l?l?l?d?d?d?l?d?d?d	528	2.0	15.0
?l?l?l?l?l?l?l?l?d?l?l?l?d?d?d?d	528	2.0	16.0
?l?l?l?l?l?l?s?l?l?l?l?l?l?l?l?l?l?d	528	3.0	18.0
?u?u?l?u?l?u?d?d?d?d	528	3.0	10.0
?d?d?d?d?d?d?l?l?l?l?l?l?l?l?l?l?d?d?d?d	528	2.0	20.0
?d?d?d?d?d?d?l?l?l?l?l?l?u	528	3.0	13.0
?d?l?l?l?d?l?l?l?l?l?l?l?l?l?d	528	2.0	15.0
?d?d?d?d?l?l?l?s?d?d	528	3.0	10.0
?l?l?l?l?l?d?l?l?d?l?l?l?l?l?d	528	2.0	15.0
?u?u?l?u?l?l?d?d?d?d	528	3.0	10.0
?l?d?d?l?l?d?l?l?l?l?l?l?l?l?l	528	2.0	15.0
?d?u?l?d?u?d?u?u	528	3.0	8.0
?u?l?l?l?l?u?l?l?u?l	528	2.0	10.0
?d?l?l?d?d?d?l?d?d?d?d?d?d?d?d?d	528	2.0	16.0
?d?d?d?l?l?l?s?d?d?d	528	3.0	10.0
?d?u?l?l?d?d?d?l	528	3.0	8.0
?l?l?l?l?l?l?l?l?l?l?u?l	528	2.0	12.0
?l?l?l?l?l?l?u?l?l?l?l?l?d?d?d?d	528	3.0	16.0
?s?s?s?l?l?l?d?d?d?d	528	3.0	10.0
?l?l?l?l?l?s?l?l?l?l?l?d?d?d?d?d?d?d?d	528	3.0	19.0
?u?l?u?d?u?d?d?u	528	3.0	8.0
?d?d?d?d?l?u?u?u?u	527	3.0	9.0
?d?u?l?l?u?d?d?l	527	3.0	8.0
?l?l?d?l?d?l?l?l?d?l?d?l	527	2.0	12.0
?d?s?d?d?d?s?d?d?d?s?d?d?d	527	2.0	13.0
?d?d?d?d?l?d?l?d?d?d?l?d?d?d?d?d	527	2.0	16.0
?d?d?d?d?l?d?l?d?d?d?d?d?d?d?l?d	527	2.0	16.0
?u?l?s?l?l?l?l?l?l?l?d	527	4.0	11.0
?d?d?l?d?d?l?d?d?s	527	3.0	9.0
?l?l?l?l?l?l?u?s?d	527	4.0	9.0
?s?s?s?s?s?s?s?s?d?d	527	2.0	10.0
?l?l?l?d?l?l?l?d?l?d?d	527	2.0	11.0
?l?l?u?l?l?u?l?l?l	527	2.0	9.0
?l?l?l?l?l?l?s?l?l?s?l?l?l?l?l?l?l?l	527	2.0	18.0
?l?d?l?l?d?d?l?l?l?l?l?l?l?l?l	527	2.0	15.0
?d?l?l?d?d?l?d?d?d?d?d?d?d?d?d?d	527	2.0	16.0
?d?l?l?d?l?l?d?l?l?l?l?l?l?l?l	527	2.0	15.0
?d?u?l?d?d?d?l?l	527	3.0	8.0
?d?d?d?d?d?d?d?d?d?l?l?d?d?d?d?l	527	2.0	16.0
?u?u?l?d?u?d?d?u	527	3.0	8.0
?l?l?l?l?d?s?l?l?l?l?l?s?l?l?l	527	3.0	15.0
?l?l?d?l?l?l?l?l?l?d?d?l?l?l?l	527	2.0	15.0
?u?l?l?d?d?d?s?d	526	4.0	8.0
?u?d?d?d?d?d?d?u?d	526	2.0	9.0
?d?u?u?u?u?u?d?d?d	526	2.0	9.0
?d?l?l?l?l?d?l?l?d?l?l?l?l?l?l	526	2.0	15.0
?u?u?l?l?l?l?l?l?l?l?d?d?s	526	4.0	13.0
?d?l?l?l?l?d?l?l?l?l?l?l?l?l?d	526	2.0	15.0
?d?u?u?l?d?u?d?l	526	3.0	8.0
?d?d?u?u?u?d?u?l	526	3.0	8.0
?l?u?u?d?u?d?d?l	526	3.0	8.0
?u?u?u?u?l?l?d?d?d?d?d?d	526	3.0	12.0
?u?u?u?d?l?l?l?l?d	526	3.0	9.0
?u?u?u?u?u?u?u?u?u?u?u?l	526	2.0	12.0
?d?d?l?d?d?d?d?l?d?d?d?d?l?d?d?d	526	2.0	16.0
?d?d?d?d?l?l?l?l?d?d?l?l	526	2.0	12.0
?d?u?l?d?u?u?d?u	526	3.0	8.0
?l?l?l?l?l?l?s?d?d?l?l?l?l	526	3.0	13.0
?l?l?l?l?l?l?d?d?l?l?d?l?l?l?l	526	2.0	15.0
?u?l?l?l?l?l?d?u?u?u	526	3.0	10.0
?l?u?l?l?u?l?l?l?l	526	2.0	9.0
?l?l?l?s?d?l?d?d	526	3.0	8.0
?d?d?d?d?d?d?l?d?d?d?d?d?l?d?d?l	526	2.0	16.0
?d?d?d?u?d?d?d?d?u	526	2.0	9.0
?l?l?l?l?d?d?d?s?l?l?l?l?l?l?s?l?l	526	3.0	17.0
?u?l?l?d?d?l?d?l?l	526	3.0	9.0
?u?l?l?l?l?l?l?l?l?l?d?d?d?d?d?d?d?d?d?d	526	3.0	20.0
?u?l?d?l?l?d?u?l?u?l	526	3.0	10.0
?d?d?d?l?d?d?d?l?d?l?d?d?d?d?d?d	526	2.0	16.0
?l?d?l?l?l?l?l?s?d	526	3.0	9.0
?d?l?l?l?l?l?l?l?l?l?d?l?l?l?d	526	2.0	15.0
?d?l?s?d?l?s?d?l	526	3.0	8.0
?u?u?u?u?u?u?s?u?u?u?u?u?u?u?u?u?u	526	2.0	17.0
?d?d?l?d?d?d?d?d?d?d?d?d?l?d?d?l	526	2.0	16.0
?l?d?d?d?d?l?u?u	526	3.0	8.0
?u?d?d?d?d?d?l?l?l?l	526	3.0	10.0
?d?d?d?d?a?a?a?a?a?a?d?d	526	1.0	12.0
?l?l?l?d?d?d?l?l?l?l?d?d?d?l	526	2.0	14.0
?d?d?l?d?d?d?d?d?d?d?d?l?d?d?l?d	526	2.0	16.0
?u?d?d?l?u?d?l?d	525	3.0	8.0
?d?d?d?d?d?l?d?d?d?d?l?l?d?d?d?d	525	2.0	16.0
?l?l?l?l?l?l?l?l?d?s?l?l?l?s?l?l?l	525	3.0	17.0
?u?u?l?l?l?l?l?u?u?d?d	525	3.0	11.0
?l?l?l?d?s?d?d?d?d?d	525	3.0	10.0
?l?l?l?l?d?l?l?d?l?l?l?l?d?l?l	525	2.0	15.0
?d?d?d?d?d?d?d?l?d?d?l?d?d?d?l?d	525	2.0	16.0
?d?l?u?d?u?u?d?u	525	3.0	8.0
?u?u?u?d?d?d?u?u?d	525	2.0	9.0
?l?d?l?l?l?l?l?l?l?d?l?l?l?l?d	525	2.0	15.0
?u?l?l?s?u?l?l?l?l?d	525	4.0	10.0
?d?d?d?d?d?l?d?d?d?d?d?d?l?l?d?d	525	2.0	16.0
?s?s?d?d?a?s?l?l?l?l?l?l?l?l?l	525	3.0	15.0
?d?l?d?d?d?d?d?l?d?d?d?l?d?d?d?d	525	2.0	16.0
?d?s?l?l?l?l?l?l?d	525	3.0	9.0
?d?d?s?d?d?s?l?l?l?l?l	525	3.0	11.0
?l?l?l?l?l?l?l?d?s?l?l?l?l	525	3.0	13.0
?d?l?d?d?d?d?d?l?d?d?d?d?d?d?l?d	525	2.0	16.0
?d?d?u?u?l?u?d?u	525	3.0	8.0
?d?d?d?d?d?l?l?d?d?d?d?l?d?d?d?d	525	2.0	16.0
?u?l?u?l?u?l?u?l?u?l?d?d?d	525	3.0	13.0
?l?l?l?d?d?l?l?l?l?l?l?l?d	525	2.0	13.0
?s?d?l?l?l?l?l?l?l?l?l?l?l?l	525	3.0	14.0
?d?u?u?l?d?d?l?u	524	3.0	8.0
?d?d?d?l?d?d?d?d?d?d?l?d?d?l?d?d	524	2.0	16.0
?l?l?l?d?l?u?l?l?l	524	3.0	9.0
?d?d?s?d?d?d?d?s?d?d?d?d	524	2.0	12.0
?d?l?d?d?d?d?l?d?d?d?d?l?d?d?d?d	524	2.0	16.0
?l?l?d?l?d?l?l?l?d?l?l?l?l?l?l	524	2.0	15.0
?l?l?l?l?l?l?l?l?l?d?l?d?d?l?l	524	2.0	15.0
?l?l?l?l?l?l?l?l?l?l?l?d?l?l?l?l?l?l?l	524	2.0	19.0
?l?l?l?l?l?l?l?l?l?l?d?l?d?d?l	524	2.0	15.0
?l?l?l?l?l?s?s?s?l?l?l?l?l	524	2.0	13.0
?d?d?d?s?d?l?l?l	524	3.0	8.0
?l?l?l?l?l?s?l?l?l?l?l?d?d?s?l?l?l?l?l?s?l?l?l	524	3.0	23.0
?d?d?d?l?d?d?d?d?d?d?l?d?d?d?d?l	524	2.0	16.0
?l?l?l?l?l?d?d?d?l?d?d?d?d	524	2.0	13.0
?d?d?d?l?l?d?d?d?d?d?d?d?d?d?l?d	524	2.0	16.0
?l?l?l?l?l?l?l?l?l?l?s?d?d?s?d?d	524	3.0	16.0
?d?d?d?l?d?l?d?d?d?d?l?d?d?d?d?d	524	2.0	16.0
?d?d?d?d?d?d?d?d?d?d?l?d?l?l?d?d	524	2.0	16.0
?a?a?a?a?a?a?a?a?a?a?a?a?s	524	1.0	13.0
?d?a?a?a?a?a?a?a?a?a?a?a?a?a?a	524	1.0	15.0
?u?l?u?d?d?d?d?u?l?u	524	3.0	10.0
?l?l?l?l?d?d?l?l?l?l?d?d?l?l?l?l	524	2.0	16.0
?d?l?l?u?u?d?l?l?l?u	524	3.0	10.0
?d?d?d?d?l?l?l?l?l?s?l?l	524	3.0	12.0
?d?l?d?l?d?d?d?d?d?d?l?d?d?d?d?d	524	2.0	16.0
?u?l?l?l?s?d?d?d?d?d?d?d?d?d?d	524	4.0	15.0
?d?d?d?l?d?d?l?d?d?d?d?l?d?d?d?d	524	2.0	16.0
?l?l?d?l?l?d?d?l?l?l?l?l?l?l?l	524	2.0	15.0
?u?l?u?d?d?u?d?u	524	3.0	8.0
?d?u?l?u?d?d?u?u	524	3.0	8.0
?d?d?l?l?l?l?l?l?d?l?l?l?l	523	2.0	13.0
?d?d?d?s?d?d?d?s?d?d?d?s?d?d?a?s?l?l?l?l?l?l?l?l	523	3.0	24.0
?s?s?d?d?s?d?d?d?d?d?d?d?d	523	2.0	13.0
?d?d?d?d?d?l?l?d?d?d?d?d?d?d?d?l	523	2.0	16.0
?l?l?l?l?l?l?u?l?l?d?d?d	523	3.0	12.0
?d?l?d?d?l?d?d?d?d?d?d?d?d?d?d?l	523	2.0	16.0
?s?u?l?l?l?l?l?l?l?l?d?d?d?d	523	4.0	14.0
?l?u?u?l?d?d?d?u	523	3.0	8.0
?u?l?l?l?l?l?u?u?l?l	523	2.0	10.0
?d?d?l?d?l?d?d?d?d?d?d?d?d?d?l?d	523	2.0	16.0
?l?l?d?l?l?l?l?l?l?d?d?l	523	2.0	12.0
?l?d?l?l?l?d?l?d?l?l?l?l?l?l?l	523	2.0	15.0
?l?l?l?s?d?d?l?l?l?s?d?d	523	3.0	12.0
?d?l?d?d?d?d?l?d?d?d?d?d?d?l?d?d	523	2.0	16.0
?u?l?l?l?d?d?l?l?u	523	3.0	9.0
?u?l?d?l?d?l?d?d?d?d	523	3.0	10.0
?s?s?u?l?l?l?l?l?d?d	523	4.0	10.0
?l?d?l?l?l?l?l?s?d?d	523	3.0	10.0
?d?d?d?d?d?d?l?l?l?l?l?l?l?l?l?l?l?d?d	523	2.0	19.0
?l?l?l?u?u?u?u?u?u?d	523	3.0	10.0
?u?l?l?l?l?l?l?s?s?s?s	523	3.0	11.0
?u?l?d?l?l?d?l?l?d?l	523	3.0	10.0
?d?l?l?l?d?l?l?l?l?l?l?l?d?l?l	523	2.0	15.0
?d?u?d?u?d?u?d?l	523	3.0	8.0
?l?l?l?l?l?l?l?s?s?l?l?l?l?l	523	2.0	14.0
?d?l?d?u?u?d?u?u	523	3.0	8.0
?d?d?d?u?u?u?u?u?u?u?u?u?d?d?d	522	2.0	15.0
?d?d?d?d?u?l?u?d	522	3.0	8.0
?u?l?u?l?l?l?l?u?l	522	2.0	9.0
?l?l?s?d?d?d?d?d?d?s	522	3.0	10.0
?l?d?d?l?u?u?d?u	522	3.0	8.0
?l?l?l?l?l?l?s?l?s?l?l?l?l?s?l?l	522	2.0	16.0
?l?d?u?d?u?l?d?l	522	3.0	8.0
?u?u?d?d?d?d?l?d	522	3.0	8.0
?d?d?d?d?l?l?l?d?d?d?d?l?l	522	2.0	13.0
?l?l?l?l?d?d?l?l?l?l?d?l?l?l?l	522	2.0	15.0
?u?l?l?s?u?l?l?s	522	3.0	8.0
?l?l?l?l?l?l?l?l?l?s?l?l?l?s?l?l?l?l?l?s?l?l?l	522	2.0	23.0
?u?l?l?l?l?l?s?l?l?l?l?l?l?d	522	4.0	14.0
?u?u?l?d?d?d?d?d?d?d?d?d	522	3.0	12.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?u?u?d?u?d?d	522	3.0	21.0
?d?d?l?l?d?d?d?u	522	3.0	8.0
?l?d?l?l?d?l?d?d?s	522	3.0	9.0
?l?l?l?l?l?d?d?d?d?d?d?l?l?l?l?l?l?l?l	522	2.0	19.0
?d?l?d?l?d?d?d?l?d?d?d?d?d?d?d?d	522	2.0	16.0
?l?l?u?d?l?d?d?d	522	3.0	8.0
?l?l?l?d?l?l?l?l?l?d?l?l?l?d?l	522	2.0	15.0
?l?l?u?u?u?l?l?l?l	522	2.0	9.0
?l?d?d?l?l?l?l?l?l?l?l?l?l?l?d	522	2.0	15.0
?u?u?u?u?u?u?u?u?u?u?d?d?s	522	3.0	13.0
?d?d?d?l?l?l?l?l?l?d?d?d?l	522	2.0	13.0
?l?l?l?l?l?d?l?d?d?l?l?l?l?l?l	522	2.0	15.0
?d?l?l?l?u?l?l?l?d	522	3.0	9.0
?l?l?l?l?d?d?s?s?d?d	522	3.0	10.0
?d?d?d?d?d?l?d?d?d?d?d?l?d?d?d?l	522	2.0	16.0
?u?d?l?l?l?d?l?d?d?d	521	3.0	10.0
?d?l?l?l?d?l?d?l?l?l?l	521	2.0	11.0
?u?l?l?l?d?l?s?s	521	4.0	8.0
?l?d?l?l?l?d?l?l?l?l?d?l?l?l?l	521	2.0	15.0
?l?l?l?l?l?l?l?l?d?d?d?d?d?d?d?d?l?l?l?l	521	2.0	20.0
?l?l?s?l?l?l?l?s?l?l?l?l?l?l?l	521	2.0	15.0
?l?l?l?l?l?l?l?d?d?l?u	521	3.0	11.0
?l?s?d?d?d?d?l?l	521	3.0	8.0
?u?l?l?d?l?l?l?l?l?d?d	521	3.0	11.0
?d?l?l?l?l?l?d?l?l?l?d?l?l?l?l	521	2.0	15.0
?u?l?l?d?d?l?d?d?d	521	3.0	9.0
?l?l?l?l?d?d?l?l?l?l?l?l?l?d?l	521	2.0	15.0
?d?l?d?d?d?d?d?d?d?l?d?l?d?d?d?d	521	2.0	16.0
?l?d?d?l?l?l?s?s	521	3.0	8.0
?d?u?d?u?l?d?u?u	521	3.0	8.0
?d?d?l?l?d?l?l?l?l?l?l?l?l?l?l	521	2.0	15.0
?l?l?l?l?s?l?l?l?l?l?l?l?l?l?s?l?l?l?l?l	521	2.0	20.0
?u?u?u?u?u?u?u?l?l?l?d?d	521	3.0	12.0
?l?l?l?l?l?l?l?s?l?l?l?l?l?s?l?l?l?l?l	521	2.0	19.0
?l?l?l?l?d?d?d?l?l?l?l?l?d	521	2.0	13.0
?d?l?d?u?d?l?d?l	521	3.0	8.0
?u?l?l?l?l?l?l?d?d?d?l?l?l?l	521	3.0	14.0
?u?l?d?d?d?u?d?d	521	3.0	8.0
?l?l?l?d?d?d?d?d?d?d?d?l?l?l?l?l?l	521	2.0	17.0
?u?u?s?l?l?l?l?d	521	4.0	8.0
?d?l?d?l?d?d?d?d?d?d?d?d?l?d?d?d	521	2.0	16.0
?d?d?u?u?u?l?d?u	521	3.0	8.0
?l?l?l?u?u?d?d?d?d?d?d	521	3.0	11.0
?d?d?d?d?d?l?d?l?d?d?d?l?d?d?d?d	521	2.0	16.0
?d?l?d?u?u?d?u?l	521	3.0	8.0
?u?l?l?l?l?d?d?l?l?l?l?l?d?d	520	3.0	14.0
?l?l?l?l?l?l?l?l?s?l?l?l?l?l?l?l?l?l?d?d	520	3.0	20.0
?d?l?l?l?l?l?l?l?l?l?l?d?l?l?d	520	2.0	15.0
?d?d?u?d?d?d?d?d?d?d	520	2.0	10.0
?l?l?l?d?l?l?l?l?d?l?l?l?d?l?l	520	2.0	15.0
?l?d?l?s?l?d?l?s	520	3.0	8.0
?u?d?d?d?u?l?d?d	520	3.0	8.0
?d?l?d?d?d?d?l?d?d?d?d?d?d?d?l?d	520	2.0	16.0
?l?l?l?d?d?d?l?d?d?d?l	520	2.0	11.0
?d?d?d?u?d?d?d?u?d?d?d?u	520	2.0	12.0
?d?d?d?d?d?l?l?l?l?l?l?l?l?d?d?d	520	2.0	16.0
?d?d?d?d?l?d?d?d?d?d?d?l?d?d?l?d	520	2.0	16.0
?l?l?l?l?l?d?d?d?d?s?l	520	3.0	11.0
?u?l?l?d?d?d?d?l?l?u	520	3.0	10.0
?l?l?l?d?l?l?l?d?l?d?l?l?l?l?l	520	2.0	15.0
?d?d?l?l?l?l?l?d?d?d?l	520	2.0	11.0
?u?u?u?u?d?u?d?d?d	520	2.0	9.0
?d?d?d?d?d?d?d?d?l?l?u?u	520	3.0	12.0
?l?l?l?d?d?d?d?d?a?s	520	3.0	10.0
?d?d?d?d?l?l?l?l?l?a?s	520	3.0	11.0
?d?d?d?d?l?l?l?d?d?d?l?l?l	520	2.0	13.0
?d?d?d?d?d?d?d?d?d?d?d?s?s?s?s?s?s	520	2.0	17.0
?u?u?d?u?u?u?d?d?d	520	2.0	9.0
?l?l?l?l?l?l?l?l?l?s?d?d?d?s	520	3.0	14.0
?l?l?l?l?l?l?u?u?l?d?d	520	3.0	11.0
?l?l?l?l?u?l?l?l?u?d?d	519	3.0	11.0
?l?l?l?l?l?l?d?d?d?d?d?d?s?l?l?l?l?l?s?l?l?l	519	3.0	22.0
?l?d?d?d?d?d?d?u?u	519	3.0	9.0
?l?l?l?l?l?l?l?l?d?d?l?d?l?l?l	519	2.0	15.0
?l?u?d?d?d?l?l?d	519	3.0	8.0
?d?u?l?l?l?l?d?u?d	519	3.0	9.0
?l?l?l?l?l?l?l?l?l?l?l?u?u?u	519	2.0	14.0
?d?l?d?l?d?u?d?u	519	3.0	8.0
?l?l?d?u?u?d?l?l?l?u	519	3.0	10.0
?d?d?l?l?l?l?d?d?l?l?l?l?l?d?d	519	2.0	15.0
?u?l?l?u?l?l?d?d?l	519	3.0	9.0
?l?l?l?d?l?l?l?l?l?l?l?l?d?d?d	519	2.0	15.0
?l?s?l?s?l?d?l?l?l?l	519	3.0	10.0
?l?l?l?l?l?l?l?d?d?d?u?u?u?u?u?u?u?d?d?d	519	3.0	20.0
?l?l?l?l?l?l?l?s?l?l?l?l?l?l?l?l?s?l?l	519	2.0	19.0
?d?l?l?l?d?d?d?d?s	519	3.0	9.0
?s?s?l?l?l?l?l?l?d?d?d	519	3.0	11.0
?l?l?l?l?l?l?l?s?l?l?l?l?l?s?d?d?d?d	519	3.0	18.0
?d?u?l?l?u?d?d?u	519	3.0	8.0
?d?d?d?a?a?a?a?a?a?a?a?a?a?a?a?a?a?d?d?d	519	1.0	20.0
?d?d?d?d?d?d?a?s?u?l?l?a?s?u?l?l?l?l?l?l	519	4.0	20.0
?l?d?u?l?d?d?d?d	519	3.0	8.0
?d?d?l?d?d?d?d?d?d?d?d?l?d?d?d?l	519	2.0	16.0
?l?l?l?l?l?l?l?l?d?d?l?l?d?l?l	519	2.0	15.0
?l?l?l?l?l?l?l?d?d?d?l?l?d	519	2.0	13.0
?d?l?d?l?l?l?l?d?l?l?l	519	2.0	11.0
?u?l?l?l?l?u?l?u?l?d?d	518	3.0	11.0
?d?d?d?d?d?d?d?d?d?l?l?l?l?l?l?l?l?l?l?l?l?l?l	518	2.0	23.0
?l?l?l?l?l?l?l?s?d?d?d?s?l?l?l	518	3.0	15.0
?l?l?l?l?l?l?l?l?l?s?s?s?s?s	518	2.0	14.0
?d?l?d?d?d?d?d?d?d?d?d?d?l?d?l?d	518	2.0	16.0
?d?d?d?d?l?l?d?l?l?l?l	518	2.0	11.0
?u?l?d?l?d?u?d?d	518	3.0	8.0
?l?u?l?l?l?l?l?u?l?d?d	518	3.0	11.0
?u?l?l?l?l?s?l?l?l?l?l?l?l?l?l?l	518	3.0	16.0
?l?l?s?s?s?l?l?l	518	2.0	8.0
?l?l?l?l?l?l?l?l?d?l?l?d?l?d?l	518	2.0	15.0
?u?u?d?u?l?d?d?u	518	3.0	8.0
?d?d?d?l?l?u?d?d	518	3.0	8.0
?u?u?d?u?d?l?d?u	518	3.0	8.0
?u?u?u?l?u?u?d?d?d?d	518	3.0	10.0
?d?d?d?d?d?d?d?l?d?d?d?d?d?l?l?d	518	2.0	16.0
?l?l?l?l?l?l?u?u?u?u?d?d?d	518	3.0	13.0
?l?d?d?l?d?d?s?s	518	3.0	8.0
?l?l?l?l?l?l?d?l?l?l?l?l?d?l?d	518	2.0	15.0
?u?u?u?u?s?u?d?d	518	3.0	8.0
?d?l?l?l?l?l?l?l?l?l?l?l?l?l?l?d?d	518	2.0	17.0
?l?l?l?l?l?l?l?l?d?d?l?l?l?d	518	2.0	14.0
?u?u?u?u?u?u?d?d?u?u?u?u?u	518	2.0	13.0
?l?l?l?l?l?l?d?d?d?d?d?d?d?d?s?s	518	3.0	16.0
?l?l?l?l?d?l?l?l?l?l?d?l?l?l?d	518	2.0	15.0
?d?d?s?l?l?l?s?d?d?d	517	3.0	10.0
?d?d?d?d?l?d?d?d?d?l?d?l?d?d?d?d	517	2.0	16.0
?d?u?l?l?d?u?l?l?l	517	3.0	9.0
?d?l?d?d?l?d?d?d?d?d?d?l?d?d?d?d	517	2.0	16.0
?u?d?d?u?u?d?d?d?d	517	2.0	9.0
?d?d?d?d?d?d?u?l?u?l?u?l	517	3.0	12.0
?l?l?l?l?l?l?l?l?u?u?d?d?d	517	3.0	13.0
?d?l?l?d?l?d?l?l?l?l?l?l?l?l?l	517	2.0	15.0
?d?d?s?d?d?d?d?l?l	517	3.0	9.0
?d?l?l?l?l?l?d?l?d?l?l	517	2.0	11.0
?l?l?l?s?l?l?l?s?l?l?l?l?l?l?l?l	517	2.0	16.0
?l?d?l?l?l?l?d?d?l?l?l?l?l?l?l	517	2.0	15.0
?l?l?l?l?s?l?l?l?l?s?l?l?l?l?l?l?l?s?l?l?l	517	2.0	21.0
?l?d?l?l?l?d?l?l?l?l?l?l?l?l?d	517	2.0	15.0
?l?l?d?l?l?l?d?l?l?l?l?d?l?l?l	517	2.0	15.0
?l?d?d?d?l?l?l?l?l?l?d	517	2.0	11.0
?u?d?d?d?d?d?d?d?s?l	517	4.0	10.0
?l?l?l?d?d?l?l?l?l?l?l?l?l?l?l?l?l?l	517	2.0	18.0
?l?l?l?l?l?l?l?l?s?l?l?l?l?l?l?s	517	2.0	16.0
?l?d?l?d?l?l?d?l?l?l?l?l?l?l?l	517	2.0	15.0
?u?u?l?l?l?l?l?l?l?s?d	517	4.0	11.0
?l?l?l?d?d?l?l?l?l?d?l?l?l?l?l	517	2.0	15.0
?u?u?u?d?u?u?d?d?d	517	2.0	9.0
?d?d?l?l?u?l?l?l?l?l	517	3.0	10.0
?d?l?l?l?l?l?l?s?l?l?l?l?l?l	516	3.0	14.0
?l?l?l?l?l?l?l?d?d?l?l?l?l?d?l	516	2.0	15.0
?u?u?u?d?u?u?d?d?d?d	516	2.0	10.0
?l?l?l?l?l?l?l?l?s?s?s?d	516	3.0	12.0
?d?d?d?d?d?l?l?d?d?d?d?d?d?l?d?d	516	2.0	16.0
?d?l?d?d?d?d?d?d?d?d?l?d?d?d?d?l	516	2.0	16.0
?d?d?s?d?d?d?s?d?d?s?d?d?a?s?l?l?l?l?l	516	3.0	19.0
?l?l?l?l?d?l?d?l?l?d?d	516	2.0	11.0
?d?d?d?d?u?u?u?u?l?l?l?l	516	3.0	12.0
?u?l?l?d?l?l?l?l?d?l?l	516	3.0	11.0
?l?d?l?d?l?u?d?d	516	3.0	8.0
?d?l?d?l?l?l?l?l?l?l?l?l?l?d?l	516	2.0	15.0
?d?d?l?u?u?u?d?u	516	3.0	8.0
?u?u?u?u?u?u?u?u?u?u?s?d?d?d	516	3.0	14.0
?d?d?d?s?d?d?d?s?d?d?s?d?d?d?a?s?l?l?l?l?l?l?l?l	516	3.0	24.0
?d?d?l?l?l?l?l?d?l?l?l?l?l?l?l	516	2.0	15.0
?u?l?u?u?l?u?l?d?d	516	3.0	9.0
?u?l?l?l?l?l?l?l?l?s?u	516	3.0	11.0
?d?d?s?d?d?s?d?d?d?s?d?d?d?a?s?l?l?l?l?l?l?d?d?d	516	3.0	24.0
?l?l?d?l?l?d?s?s	516	3.0	8.0
?l?l?l?l?l?l?u?l?l?l?l?l?l?d	516	3.0	14.0
?l?l?l?l?d?d?l?l?l?l?l?l?l?d	516	2.0	14.0
?d?l?l?l?l?d?l?l?l?d?l?l?l?l?l	516	2.0	15.0
?u?l?l?l?d?d?d?u?l	516	3.0	9.0
?d?d?d?u?u?u?u?d?d?d?d	516	2.0	11.0
?l?d?l?d?l?l?l?l?d?l?l?l?l?l?l	516	2.0	15.0
?s?l?l?d?d?l?l?l	515	3.0	8.0
?d?u?l?l?u?d?d?d	515	3.0	8.0
?l?l?s?s?l?d?d?d?d	515	3.0	9.0
?d?d?d?d?d?l?d?d?d?d?l?d?d?d?l?d	515	2.0	16.0
?d?l?u?l?d?u?d?u	515	3.0	8.0
?d?d?d?d?d?d?d?s?s?l	515	3.0	10.0
?l?l?l?l?d?d?d?d?d?d?d?l?l?l?l?l?l	515	2.0	17.0
?u?u?u?u?u?d?d?d?d?u?u?u?u	515	2.0	13.0
?l?l?d?l?d?l?l?l?l?d?d	515	2.0	11.0
?d?d?l?l?l?d?l?l?l?l?l?l?l?l?l	515	2.0	15.0
?s?s?d?l?l?l?l?l?l?l	515	3.0	10.0
?u?u?u?u?u?u?d?d?u?u?u?u?u?u	515	2.0	14.0
?d?d?u?l?u?u?d?u	515	3.0	8.0
?l?d?l?d?l?l?l?l?l?l?l?l?l?l?d	515	2.0	15.0
?d?l?d?l?d?d?d?d?d?d?d?l?d?d?d?d	515	2.0	16.0
?l?l?l?s?d?d?s?d?d?s?d?d	515	3.0	12.0
?d?u?u?d?l?d?u?u	514	3.0	8.0
?d?d?d?d?d?d?d?d?d?d?u?l?l?l?l?l?l	514	3.0	17.0
?l?l?l?l?l?l?l?l?d?d?d?d?l?d	514	2.0	14.0
