Mask	Count	Complexity	Length
?d?d?l?l?l?l?l?l?l	514732	2.0	9.0
?l?l?l?l?l?l?d?l	507802	2.0	8.0
?d?d?d?d?d?d?d?l?l?l	505545	2.0	10.0
?l?l?d?d?d?d?d?d?d?d?d	503043	2.0	11.0
?l?l?l?l?d?d?d?d?d?d?d	501110	2.0	11.0
?d?d?d?d?d?d?d?d?d?d?d?d?d?d	500905	1.0	14.0
?d?d?d?l?l?l?l?l?l	500467	2.0	9.0
?l?l?l?l?l?l?s?d?d	499400	3.0	9.0
?u?l?l?l?l?l?l?l?l?d?d	498026	3.0	11.0
?l?l?l?l?l?l?l?l?l?l?l?l?d	495267	2.0	13.0
?u?l?l?l?l?l?l?l?l?l	486015	2.0	10.0
?u?l?l?l?l?l?l?d?d?d	485095	3.0	10.0
?u?l?l?l?l?l?l?l?l?d	481297	3.0	10.0
?u?u?u?u?u?u?u?u?u	480244	1.0	9.0
?l?l?l?l?l?d?l?l	473557	2.0	8.0
?u?u?u?u?u?u?u?u?u?u	469892	1.0	10.0
?d?d?d?d?d?d?d?d?d?l	464004	2.0	10.0
?l?l?l?l?l?l?l?d?d?d?d?d	457164	2.0	12.0
?d?d?d?d?d?d?d?d?l?l?l?l	452699	2.0	12.0
?l?l?l?l?l?d?d?d?d?d?d?d?d	445372	2.0	13.0
?l?l?l?l?l?s?d?d	439451	3.0	8.0
?l?d?l?l?l?l?l?l	435291	2.0	8.0
?u?u?u?u?d?d?d?d	424517	2.0	8.0
?d?d?d?l?l?l?l?l?l?l	417074	2.0	10.0
?l?l?d?d?d?d?l?l	417024	2.0	8.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?d?d	417022	2.0	15.0
?l?l?l?l?l?l?l?l?d?d?d?d?d?d	414047	2.0	14.0
?d?d?d?d?d?l?l?l	406470	2.0	8.0
?u?u?u?u?u?u?d?d	400228	2.0	8.0
?l?d?d?d?d?d?d?l	391180	2.0	8.0
?u?l?l?l?l?l?l?l?d?d?d?d	389842	3.0	12.0
?l?l?l?l?l?d?d?d?d?d?d?d	386077	2.0	12.0
?l?l?d?l?l?l?l?l	383674	2.0	8.0
?l?l?l?l?l?l?d?d?d?d?d?d?d?d	383575	2.0	14.0
?l?l?l?l?l?l?l?s?d?d	377947	3.0	10.0
?d?d?d?d?d?d?l?l?l?l?l	374641	2.0	11.0
?d?d?l?l?l?l?d?d	373107	2.0	8.0
?l?l?l?l?d?l?l?l?l	366234	2.0	9.0
